,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34
c22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000566221,0,0,0,0,0,0.012655617,0,0,0,0.040341502,0.103226551,0.002371842,0.037776166,0.020869043,0.007031617,0.000716506,0.020707716
c23,0.021290508,0.006939627,0.035228632,0.014180775,0.001521328,0.001138022,0.002200593,0.014431177,0.02059993,0.006262443,0.005938308,0.011172955,0.005038417,0.008314921,0.014216124,0.005436474,0.008468744,0.03672271,0.001786337,0.013873908,0.022657311,0.002500234,0.010347882,0.000729819,0.000983854,0.006213659,0.007730123,0.009980919,0.011714142,0.029862373,0.015563295,0.007251648,0.001739542,0.001820993
c24,0.006147833,0.000673819,0.01357781,0.005380128,0.000462826,0.000448477,0.000857468,0.002986579,0.006203475,0.002302744,0.001737311,0.00327391,0.001552248,0.002533803,0.004420068,0.001697998,0.002186858,0.011653163,0.000213024,0.001654485,0.00270192,0.001096433,0.001014537,3.66851E-05,0.000229013,0.007900938,0.000950716,0.000308657,0.000472585,0.001318675,0.000687251,0.000694487,0.000506589,0.000247357
c25,0.001837964,0.000201446,0.004059238,0.001608449,0.000138367,0.000134077,0.00025635,0.000892871,0.001854598,0.000688431,0.000519389,0.000978772,0.000464062,0.000757509,0.001321429,0.000507636,0.000645322,0.003483843,0.001663459,0.01291955,0.02109876,0.007013587,0.000303307,1.09674E-05,6.8466E-05,9.32124E-05,0.033485735,0.070429443,0.000141285,0.107941113,0.056255387,0.006480292,0.00015145,7.39502E-05
c26,0.027734958,0.018713774,0.067932074,0.026255027,0.002016817,0.001954291,0.003736517,0.013014359,0.027032354,0.010034469,0.007570533,0.014266439,0.006764097,0.011041336,0.019260951,0.007399222,0.009996047,0.050779991,0.004155165,0.03227183,0.052702732,0.004782804,0.022853702,0.000166775,0.003395506,0.008036979,0.004293635,0.025468679,0.002088646,0.011173117,0.005823064,0.003026308,0.023931116,0.001114524
c27,0.000343629,0.000519044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000691864,0,0.001019893,0.007921178,0.012935979,0.007629918,0.059201386,6.32212E-05,0.000533708,0.026573823,0.023139525,0.050986323,0,0.111366596,0.058040636,0.043149454,0.047489202,0.027615316
c28,0.081010334,0.005310743,0.015690203,0.017224853,0.002425249,0.002722242,0.005821403,0.005336719,0.035208736,0.010645472,0.012317653,0.007514347,0.010752221,0.021363733,0.015179758,0.005899181,0.013993202,0.029513931,0.002096512,0.016282936,0.026591464,0.002640072,0.016634659,0.002973201,0.00064877,0.011409901,0.025259298,0.007466354,0.015914632,0.068446252,0.035671953,0.028511153,0.004377013,0.008370987
c29,0.000198781,0.000298292,7.03871E-05,0.001254554,0.000316713,0,0,0,0.003656678,0.000993808,0,0.000598043,0,0,0,0,0.000436295,0,0.000382497,0.002970732,0.004851467,0.003320492,0.002493445,0.000114915,0.000344128,0.000224986,0.009805711,0,0.001657695,0.01922773,0.010020866,0.00354822,0.001816625,0.004147554
c30,0.001317759,0.017062527,0.000806214,0.001504935,2.7275E-05,1.26703E-05,4.19407E-05,0.001341045,0.006575297,0.00150145,0.00023307,0.002281935,0.00020694,0.000176297,0.000362066,5.28191E-05,0.006671788,0.063695625,0.000563934,0.004379895,0.007152753,0.002330293,0.007751912,0.000882653,0.001115535,0.003972109,0.025354794,0.018775255,0.008977295,0.023554282,0.012275723,0.010350966,0.004245108,0.002180941
c31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c32,0.000253058,0.008237194,0.002106127,0.002230154,0.000116778,1.40893E-05,7.90124E-05,0.00025753,0.020850681,0.003703205,0.003503485,0.001957743,0.000300389,0.000619971,0.003359547,0.000162048,0.001326633,0.012231882,0.000108296,0.000841099,0.001373589,0.000401488,0.001265044,0.000133979,0.000214223,0.00076279,0.011090403,0.024033718,0.002371003,0.010916077,0.005403787,0.003359802,0.005167064,0.005970367
c33,0,0,0.003160357,0.001016942,0,0,0,0,0.025119578,0.004507507,0,0.002896473,0.00249939,0.005379395,0.008922919,0,0.004011823,0,0,0,0,0,0.001908081,0,0,0.002890655,0.016626337,0.003454679,0,0,0,0,0,0
c34,0.112912324,0.029158374,0.000513152,0.000587516,4.34528E-05,4.58939E-05,6.93725E-05,0,0.000295897,0.000206986,0.000173447,0.000130006,7.67238E-05,0.000222562,0.000306775,0.000148561,0.001748546,0.000912487,0.000635722,0.004937448,0.008063286,0.00130133,0.004647287,0.000259552,0.00122216,0.001301846,0.039772632,0.004792929,0.001416043,0.036179955,0.018855812,0.008879056,0.012353666,0.008970117
